"item_sugerido","veces","variantes"
"TORNILLO PARRILLA","1","TORNILLO PARRILLA (1)"
"RESORTE DE CRAN","1","RESORTE DE CRAN (1)"
"SOPORTE MALETAS","1","SOPORTE MALETAS (1)"
"RETOQUES DE DEFENSAS Y GENERALES","1","RETOQUES DE DEFENSAS Y GENERALES (1)"
"AREGLO TANQUE","1","AREGLO TANQUE (1)"
"PINTURA E INSTALACION DE TAPAS DE EXOSTO","1","PINTURA E INSTALACION DE TAPAS DE EXOSTO (1)"
"CAMBIO ESCOBILLAS","1","CAMBIO ESCOBILLAS (1)"
"LAVAADA","1","LAVAADA (1)"
"ALINEACION DE RIINES","1","ALINEACION DE RIINES (1)"
"ARREGLO AMORTIGUADOOR","1","ARREGLO AMORTIGUADOOR (1)"
"VALVULAS DE LLANTAS","1","VALVULAS DE LLANTAS (1)"
"INSTALACION EXTENSOR DE GUARDABARRO","1","INSTALACION EXTENSOR DE GUARDABARRO (1)"
"GRIP DERECHO","1","GRIP DERECHO (1)"
"CAMBIO MANGUERA RADIADOR","1","CAMBIO MANGUERA RADIADOR (1)"
"REVISION KIT DE ARRASTRE","1","REVISION KIT DE ARRASTRE (1)"
"CAMBIO TORNILLOS HAND SABER","1","CAMBIO TORNILLOS HAND SABER (1)"
"CAMBIO VENDIX","1","CAMBIO VENDIX (1)"
"TORNILLO TAPA IZQUIERDA","1","TORNILLO TAPA IZQUIERDA (1)"
"PINTURA VISAGRAS","1","PINTURA VISAGRAS (1)"
"PINTURA PROTECCIONES MOTO","1","PINTURA PROTECCIONES MOTO (1)"
"MANTENIMIENTO GRISP","1","MANTENIMIENTO GRISP (1)"
"CAUCHOS MALETERO Y SOLDADURA","1","CAUCHOS MALETERO Y SOLDADURA (1)"
"PURGA DE CLUTCH","1","PURGA DE CLUTCH (1)"
"PINTURA TAPAS BLANCAS","1","PINTURA TAPAS BLANCAS (1)"
"ARREGLO LLAVE","1","ARREGLO LLAVE (1)"
"DEPURACION IQUIDO DE FRENOS","1","DEPURACION IQUIDO DE FRENOS (1)"
"INSTALACION SELLO MECANICO","1","INSTALACION SELLO MECANICO (1)"
"AJUSTE EXPLORADORAS","1","AJUSTE EXPLORADORAS (1)"
"TOTEL","1","TOTEL: (1)"
"CAMBIO TORNILLO DE CARDAN","1","CAMBIO TORNILLO DE CARDAN (1)"
"INSTALACION DE GUARDABARRO Y CUPULA","1","INSTALACION DE GUARDABARRO Y CUPULA (1)"
"REVISION Y MANTENIMIENTO DE FILTROS","1","REVISION Y MANTENIMIENTO DE FILTROS (1)"
"REPARACION ABS","1","REPARACION ABS (1)"
"ACOMODAR EXPLORADORAS","1","ACOMODAR EXPLORADORAS (1)"
"LLANTAS A41","1","LLANTAS A41 (1)"
"CARGADOR USB","1","CARGADOR USB (1)"
"CAMBIO DE ACEITE ENI 10W 30","1","CAMBIO DE ACEITE ENI 10W 30 (1)"
"REVISAR TESTIGO DE ACEITE","1","REVISAR TESTIGO DE ACEITE (1)"
"DESENSAMBLE PARTE FRONTAL","1","DESENSAMBLE PARTE FRONTAL (1)"
"ARREGLO EXOSTO Y TAPA","1","ARREGLO EXOSTO Y TAPA (1)"
"LIMPIEZA DE EXOSTO","1","LIMPIEZA DE EXOSTO (1)"
"ARREGLO POSAPIE Y DEFENSA","1","ARREGLO POSAPIE Y DEFENSA (1)"
"PINTURA Y SOLDADURA DE DEFENSAS","1","PINTURA Y SOLDADURA DE DEFENSAS (1)"
"PINTURA DE PESA","1","PINTURA DE PESA (1)"
"BOBINAS","1","BOBINAS (1)"
"DESOXIDAR PARTES","1","DESOXIDAR PARTES (1)"
"2 RODAMIENTOS 6204","1","2 RODAMIENTOS 6204 (1)"
"3 KIT DE PASTILLAS","1","3 KIT DE PASTILLAS (1)"
"SENSOR PRESION DE LLANTAS","1","SENSOR PRESION DE LLANTAS (1)"
"ABONO CUNAS","1","ABONO CUNAS (1)"
"RECORTE DE CADENA","1","RECORTE DE CADENA (1)"
"PARCHE RUDA","1","PARCHE RUDA (1)"
"REVISION MANGUERA CAJA FILTRO","1","REVISION MANGUERA CAJA FILTRO (1)"
"ARREGLO DE TABLERO","1","ARREGLO DE TABLERO (1)"
"AJUSTE DE PLACA","1","AJUSTE DE PLACA (1)"
"CAUCHOS DE MOTOR","1","CAUCHOS DE MOTOR (1)"
"CAMBIO COCUYOS","1","CAMBIO COCUYOS (1)"
"MANTENIMIENTO DE MORDAZASA","1","MANTENIMIENTO DE MORDAZASA (1)"
"NAVADA","1","ÑAVADA (1)"
"REVISAR FALLA","1","REVISAR FALLA (1)"
"INSTALACION DE PROTECTORES","1","INSTALACION DE PROTECTORES (1)"
"ARREGLO Y AJUSTE DE EXOSTO","1","ARREGLO Y AJUSTE DE EXOSTO (1)"
"REVISION DE CADENILLA","1","REVISION DE CADENILLA (1)"
"ARREGLO MANDO DERECHO","1","ARREGLO MANDO DERECHO (1)"
"ARREGLO TORNILLO MULETA","1","ARREGLO TORNILLO MULETA (1)"
"SOPORTE CUPULA","1","SOPORTE CUPULA (1)"
"CAMBIO DE CADENA","1","CAMBIO DE CADENA (1)"
"ARREGLO BASE MALETERO","1","ARREGLO BASE MALETERO (1)"
"REVISION","1","REVISION (1)"
"DISCOS TRASERO","1","DISCOS TRASERO (1)"
"INSTALACION TAPA Y EMPAQUE DE VOLANTE","1","INSTALACION TAPA Y EMPAQUE DE VOLANTE (1)"
"MANTENIMIENTO CUERPO DE ACELERACION Y CAMBIO DE BOBINAS","1","MANTENIMIENTO CUERPO DE ACELERACION Y CAMBIO DE BOBINAS (1)"
"ARREGLO DE LUCES","1","ARREGLO DE LUCES (1)"
"CAMBIO DE NEUMATICO DELANTERO","1","CAMBIO DE NEUMATICO DELANTERO (1)"
"ARREGLO Y LIMPIEZA DE TANQUE","1","ARREGLO Y LIMPIEZA DE TANQUE (1)"
"PILA BOMBA DE GASOLINA","1","PILA BOMBA DE GASOLINA (1)"
"FILTRO BOMBA DE GASOLINA","1","FILTRO BOMBA DE GASOLINA (1)"
"PURGAR FRENO TRASERO","1","PURGAR FRENO TRASERO (1)"
"MANTENIMIENTO DE TRANSMISION","1","MANTENIMIENTO DE TRANSMISION (1)"
"REVISION DE MANUBRIO","1","REVISION DE MANUBRIO (1)"
"PINTURA ELECTROSTATICA DE GATO","1","PINTURA ELECTROSTATICA DE GATO (1)"
"PINTURA DE ASAS","1","PINTURA DE ASAS (1)"
"ENDEREZAR MANIGUETA DE FRENO","1","ENDEREZAR MANIGUETA DE FRENO (1)"
"T6APIZADA DE SILLA","1","T6APIZADA DE SILLA (1)"
"CAMBIO DE PASTILLAS TRASERAS","1","CAMBIO DE PASTILLAS TRASERAS (1)"
"CALCOLMANIAS","1","CALCOLMANIAS (1)"
"MANTENIMIENTO SONDA LANDA FILTRO DE AIRE","1","MANTENIMIENTO SONDA LANDA FILTRO DE AIRE (1)"
"PERA DE FRENO","1","PERA DE FRENO (1)"
"EXPLORADORAS MAXIM","1","EXPLORADORAS MAXIM (1)"
"CALCOMANIAS TANQUE Y TAPAS","1","CALCOMANIAS TANQUE Y TAPAS (1)"
"EMPAQUETADURA DE CLUTCH","1","EMPAQUETADURA DE CLUTCH (1)"
"TAPAS PRENSA","1","TAPAS PRENSA (1)"
"CAQMBIO DISCOS DE CLUTCH","1","CAQMBIO DISCOS DE CLUTCH (1)"
"INSTALACION CARGADOR USB","1","INSTALACION CARGADOR USB (1)"
"FUGA DE ACEITE CKP","1","FUGA DE ACEITE CKP (1)"
"CAMBIO DE PERA FRENO DELANTERO","1","CAMBIO DE PERA FRENO DELANTERO (1)"
"MANTENIMIENTO DE BANDAS","1","MANTENIMIENTO DE BANDAS (1)"
"ARREGLO POSAPIE TRASERO","1","ARREGLO POSAPIE TRASERO (1)"
"PINTURA DE CUPULA","1","PINTURA DE CUPULA (1)"
"EJES DE LEVAS","1","EJES DE LEVAS (1)"
"FILTRO DE ACIRE","1","FILTRO DE ACIRE (1)"
"PINTURA TAPAS NEGRA","1","PINTURA TAPAS NEGRA (1)"
"PINTURA Y ARREGLO DE RINES","1","PINTURA Y ARREGLO DE RINES (1)"
"MANGUERA RADIADOR","1","MANGUERA RADIADOR (1)"
"EMPAQUETADURAS","1","EMPAQUETADURAS (1)"
"IVA FACTURA ANTERIOR","1","IVA FACTURA ANTERIOR (1)"
"CORREGIR NEGATIVA","1","CORREGIR NEGATIVA (1)"
"LIGAS DE FRENOS","1","LIGAS DE FRENOS (1)"
"MANTENIMIENTO BUJES DE TIJERA","1","MANTENIMIENTO BUJES DE TIJERA (1)"
"MANTENIMIENTO FILTRO DE ARE","1","MANTENIMIENTO FILTRO DE ARE (1)"
"DEPURACION LIQUIDO DE FRENOSS","1","DEPURACION LIQUIDO DE FRENOSS (1)"
"TORNILLO DE CARDAN","1","TORNILLO DE CARDAN (1)"
"GUAYA DE FRENO Y CLUTCH","1","GUAYA DE FRENO Y CLUTCH (1)"
"QUITAR CABLEADO","1","QUITAR CABLEADO (1)"
"KIT DE PISTON","1","KIT DE PISTON (1)"
"RECTIFICACION DE CILINDRO","1","RECTIFICACION DE CILINDRO (1)"
"ELECTROSTATICA DE EXOSTO","1","ELECTROSTATICA DE EXOSTO (1)"
"SOLDADURA DE CHASIS","1","SOLDADURA DE CHASIS (1)"
"ADONIZADO DE RINES","1","ADONIZADO DE RINES (1)"
"MANO DE OBRA REPARACION MOTOR","1","MANO DE OBRA REPARACION MOTOR (1)"
"BOBINA O ANTENA","1","BOBINA O ANTENA (1)"
"PELAR CHASIS","1","PELAR CHASIS (1)"
"TRANSPORTE DE RINES","1","TRANSPORTE DE RINES (1)"
"SOLDADURA DE UN RIN","1","SOLDADURA DE UN RIN (1)"
"BOMBA TRASERA","1","BOMBA TRASERA (1)"
"ENRADIADO","1","ENRADIADO (1)"
"RADIOS DOS KITS","1","RADIOS DOS KITS (1)"
"DIAGNOSTICAR","1","DIAGNOSTICAR (1)"
"FUGA CKP Y FUGA BOMBA DE AGUA","1","FUGA CKP Y FUGA BOMBA DE AGUA (1)"
"TAPA ABS","1","TAPA ABS (1)"
"REVISION LIQUIDO DE FRENOS","1","REVISION LIQUIDO DE FRENOS (1)"
"ARRREGLO FAROLA","1","ARRREGLO FAROLA (1)"
"GOLPE RINES","1","GOLPE RINES (1)"
"REVISAR LLANTAS","1","REVISAR LLANTAS (1)"
"PINTURA TAPA","1","PINTURA TAPA (1)"
"AJUSTAR CUNAS","1","AJUSTAR CUNAS (1)"
"INSTACION DE PIEZAS","1","INSTACION DE PIEZAS (1)"
"INSTALACION TABLERO","1","INSTALACION TABLERO (1)"
"BOMBILLO DIRECCIONAL","1","BOMBILLO DIRECCIONAL (1)"
"PESA DERECHA","1","PESA DERECHA (1)"
"CAMBIO DE FILTROS","1","CAMBIO DE FILTROS (1)"
"SOLDADURA DE MENSULAS","1","SOLDADURA DE MENSULAS (1)"
"INSTALACION DE VENDIX","1","INSTALACION DE VENDIX (1)"
"RADIO DELANTERO","1","RADIO DELANTERO (1)"
"INSTALACION DE GATO","1","INSTALACION DE GATO (1)"
"3 PASTILLAS","1","3 PASTILLAS (1)"
"PITO","1","PITO (1)"
"CAMBIO DDE ACEITE","1","CAMBIO DDE ACEITE (1)"
"SOLDADURA RIN DELANTERO","1","SOLDADURA RIN DELANTERO (1)"
"SOPORTE STOP","1","SOPORTE STOP (1)"
"SOLDADURA BARRA DERECHA","1","SOLDADURA BARRA DERECHA (1)"
"SOPORTE DE GUARDABARRO DERECHO","1","SOPORTE DE GUARDABARRO DERECHO (1)"
"REVISION DE PRENSA","1","REVISION DE PRENSA (1)"
"DISCO ESPECIAL","1","DISCO ESPECIAL (1)"
"BARRAS","1","BARRAS (1)"
"VARILLAS ANTIVIBRADORAS","1","VARILLAS ANTIVIBRADORAS (1)"
"CAMBIO DE DISCOS","1","CAMBIO DE DISCOS (1)"
"INSTALACION DE DEFENSAS","1","INSTALACION DE DEFENSAS (1)"
"ARREGLO TANQUE Y RETOQUES","1","ARREGLO TANQUE Y RETOQUES (1)"
"MANTENIMIENTO Y RETEN BOMBA DE CLUTCH","1","MANTENIMIENTO Y RETEN BOMBA DE CLUTCH (1)"
"RECTIFICADA Y TAPON DE ACEITE","1","RECTIFICADA Y TAPON DE ACEITE (1)"
"REVISIOM FUGA DE ACEITE","1","REVISIOM FUGA DE ACEITE (1)"
"REFUERZO MALETEROS","1","REFUERZO MALETEROS (1)"
"GOLPE RIN TRASERO","1","GOLPE RIN TRASERO (1)"
"ARREGLO CAJA DE HERRAMIENTAS","1","ARREGLO CAJA DE HERRAMIENTAS (1)"
"TAPON","1","TAPON (1)"
"RETEN CKP","1","RETEN CKP (1)"
"CAUCHOS CAJON","1","CAUCHOS CAJON (1)"
"CORRECCION DE FAROLA","1","CORRECCION DE FAROLA (1)"
"RODAMIENOTS","1","RODAMIENOTS (1)"
"ARREGLO FUGA MOTOR DE ARRANQUE","1","ARREGLO FUGA MOTOR DE ARRANQUE (1)"
"PRLAR RINE","1","PRLAR RINE (1)"
"ORRING TAPA DE ACEITE","1","ORRING TAPA DE ACEITE (1)"
"JABON DEFENSSA","1","JABON DEFENSSA (1)"
"TAPA LLENADP","1","TAPA LLENADP (1)"
"PINTURA TAPA RESERVORIO TRASERO","1","PINTURA TAPA RESERVORIO TRASERO (1)"
"MANTENIMIENTO PASTILLAS DELANTERAS","1","MANTENIMIENTO PASTILLAS DELANTERAS (1)"
"CAMBIO DE BATERIS","1","CAMBIO DE BATERIS (1)"
"PINTURA Y ARREGLO DE TAPA DERECHA","1","PINTURA Y ARREGLO DE TAPA DERECHA (1)"
"ESPEJO DERECHO","1","ESPEJO DERECHO (1)"
"MANO DE OBRA RADIOS","1","MANO DE OBRA RADIOS (1)"
"REVISION FUGA DE ACEITE","1","REVISION FUGA DE ACEITE (1)"
"PINTURA PORTAPLACA","1","PINTURA PORTAPLACA (1)"
"REPUESTOS PRENSA CLUTCH","1","REPUESTOS PRENSA CLUTCH (1)"
"TRASNPORTE","1","TRASNPORTE (1)"
"1 RODAMIENTO","1","1 RODAMIENTO (1)"
"RETEN PEDAL DE CAMBIOS","1","RETEN PEDAL DE CAMBIOS (1)"
"ACEIT","1","ACEIT (1)"
"GUARDABARRO TRASERP","1","GUARDABARRO TRASERP (1)"
"TENSOR DE CAENILLA","1","TENSOR DE CAENILLA (1)"
"REPARACION DE MOTO","1","REPARACION DE MOTO (1)"
"RECTIFICACION DE BARRAS","1","RECTIFICACION DE BARRAS (1)"
"LLANTA TRSERA","1","LLANTA TRSERA (1)"
"RETOQUES Y MANO DE OBRA","1","RETOQUES Y MANO DE OBRA (1)"
"CAMBIO MOTOR DE ARRANQUE","1","CAMBIO MOTOR DE ARRANQUE (1)"
"COSAS VARIAS","1","COSAS VARIAS (1)"
"RODAMIENTO PRENSA DE CLUTCH","1","RODAMIENTO PRENSA  DE CLUTCH (1)"
"MANTENIMIENTO RODAMIENTOS DELANTEROS","1","MANTENIMIENTO RODAMIENTOS DELANTEROS (1)"
"ENRADIADA","1","ENRADIADA (1)"
"GRIPS","1","GRIPS (1)"
"ARREGLO DE MANIGUETA","1","ARREGLO DE MANIGUETA (1)"
"ARREGLO BOMBA DE GASOLINA","1","ARREGLO BOMBA DE GASOLINA (1)"
"ORRING CABEZA DE FUERZA","1","ORRING CABEZA DE FUERZA (1)"
"ALISTAR PARA VIAJE","1","ALISTAR PARA VIAJE (1)"
"BALANCEO DE RINES Y LLANTAS","1","BALANCEO DE RINES Y LLANTAS (1)"
"CAMBIO DE CAITE","1","CAMBIO DE CAITE (1)"
"PINTURA PROTECTOR DE EXOSTO","1","PINTURA PROTECTOR DE EXOSTO (1)"
"INSTALCION KIT DE ARRASTRE","1","INSTALCION KIT DE ARRASTRE (1)"
"REVISAR TORNILLOS","1","REVISAR TORNILLOS (1)"
"1 4 DE ACEITE 5100","1","1/4 DE ACEITE 5100 (1)"
"ARREGLO PANEL","1","ARREGLO PANEL (1)"
"RESORTES DE CONTRABALANCEADOR","1","RESORTES DE CONTRABALANCEADOR (1)"
"ARREGLO PROTECTOR DE CADENA","1","ARREGLO PROTECTOR DE CADENA (1)"
"KIT DE PRENSA Y ANILLOS","1","KIT DE PRENSA Y ANILLOS (1)"
"MANTENIMIENTO Y LIQUIDO DE CLUTCH","1","MTO Y LIQUIDO DE CLUTCH (1)"
"CALEFACTORES","1","CALEFACTORES (1)"
"INSPECCION GENERAL","1","INSPECCION GENERAL (1)"
"REVISAR PRESION LANTA TRAS","1","REVISAR PRESION LANTA TRAS (1)"
"ARREGLO DE CLTCH","1","ARREGLO DE CLTCH (1)"
"MANO DE OBRA REPARACION PARCIAL","1","MANO DE OBRA REPARACION PARCIAL (1)"
"SINCRNIZACION","1","SINCRNIZACION (1)"
"PINTURA ELECTROESTATICA","1","PINTURA ELECTROESTATICA (1)"
"DELIZADORES DE CADENILLA","1","DELIZADORES DE CADENILLA (1)"
"INSTALACION USB","1","INSTALACION USB (1)"
"AJUSTE TORNILLO","1","AJUSTE TORNILLO (1)"
"CAMBIO DE ACEITE ENI 20W50","1","CAMBIO DE ACEITE ENI 20W50 (1)"
"REVISAR DISCOS","1","REVISAR DISCOS (1)"
"PROTECTOR DE CARTER","1","PROTECTOR DE CARTER (1)"
"MANTENIMIENTO DE ACELERADOR","1","MANTENIMIENTO DE ACELERADOR (1)"
"MANTENIMIENTO E BARRAS","1","MANTENIMIENTO E BARRAS (1)"
"REVISAR PASTILLAS DEL","1","REVISAR PASTILLAS DEL (1)"
"CABLES DE EXPLORADORA","1","CABLES DE EXPLORADORA (1)"
"AJUSTE DE FRENTE","1","AJUSTE DE FRENTE (1)"
"REVIASAR CLUTCH","1","REVIASAR CLUTCH (1)"
"ARREGLO ALUMBRA PLACA","1","ARREGLO ALUMBRA PLACA (1)"
"MANO DE OBRA BOBINA","1","MANO DE OBRA BOBINA (1)"
"ARREGLO DE RADIADORR","1","ARREGLO DE RADIADORR (1)"
"PINTURA GATO CENTRAL","1","PINTURA GATO CENTRAL (1)"
"ARREGLO Y PINTURA DE TANQUE","1","ARREGLO Y PINTURA DE TANQUE (1)"
"REFIGERANTE","1","REFIGERANTE (1)"
"PASTILLAS TRADERAS","1","PASTILLAS TRADERAS (1)"
"BARRA DERECHA","1","BARRA DERECHA (1)"
"800 CC DE ACEITE","1","800 CC DE ACEITE (1)"
"CUADRAR CLUTCH","1","CUADRAR CLUTCH (1)"
"CORTE Y CANDADO DE CADENA","1","CORTE Y CANDADO DE CADENA (1)"
"REVISON FILTRO DE AIRE","1","REVISON FILTRO DE AIRE (1)"
"TAPONES DE DEFENSAS","1","TAPONES DE DEFENSAS (1)"
"REVISAR","1","REVISAR (1)"
"MATENIMIENTO DE CARDAN","1","MATENIMIENTO DE CARDAN (1)"
"CANASTILLAS TIJERAS","1","CANASTILLAS TIJERAS (1)"
"REVISAR SENSOR DE TEMPERATURA","1","REVISAR SENSOR DE TEMPERATURA (1)"
"AJUSTE DE EXPLORADORAS","1","AJUSTE DE EXPLORADORAS (1)"
"LIQUIDO REFRIGERANTE","1","LIQUIDO REFRIGERANTE} (1)"
"ADECUACION MULETA","1","ADECUACION MULETA (1)"
"FUGA DE REFRIGERANTE","1","FUGA DE REFRIGERANTE (1)"
"ARREGLO GUAYA DE ACELERADOR","1","ARREGLO GUAYA DE ACELERADOR (1)"
"CAMBIO DE BANDAS Y PASTILLAS","1","CAMBIO DE BANDAS Y PASTILLAS (1)"
"RTENSION Y LUBRICACION DE CADENA","1","RTENSION Y LUBRICACION DE CADENA (1)"
"CAMBIO ORING","1","CAMBIO ORING (1)"
"EXTRACCION DE BUJES","1","EXTRACCION DE BUJES (1)"
"MANO DE OBRA VENTILADOR","1","MANO DE OBRA VENTILADOR (1)"
"ARREGLO CABLES EXPLORADORAS","1","ARREGLO CABLES EXPLORADORAS (1)"
"ARREGLO HAND SAVE","1","ARREGLO HAND SAVE (1)"
"TAPIZADO","1","TAPIZADO (1)"
"TAPITA COLA BLANCA","1","TAPITA COLA BLANCA (1)"
"ELECTROESTATICA","1","ELECTROESTATICA (1)"
"RETOQUES VARIOS","1","RETOQUES VARIOS (1)"
"FIRECCIONAL IZQUIERDA DELANTERA","1","FIRECCIONAL IZQUIERDA DELANTERA (1)"
"TAPZADO DE SILLA","1","TAPZADO DE SILLA (1)"
"POLICHADO PROTECTOR DE FAROLA","1","POLICHADO PROTECTOR DE  FAROLA (1)"
"COTIZACION LLANTA","1","COTIZACION LLANTA (1)"
"RECTIFICAR RINES","1","RECTIFICAR RINES (1)"
"EMPAQUE Y MANTENIMIENTO DE CLUTCH","1","EMPAQUE Y MANTENIMIENTO DE CLUTCH (1)"
"RECTIFICACION ROSCA","1","RECTIFICACION ROSCA (1)"
"ARMAR Y CENTRAR RINES","1","ARMAR Y CENTRAR RINES (1)"
"ARREGLO DE DEFENSA","1","ARREGLO DE DEFENSA (1)"
"CAMBIO EJE DE ARRASTRE","1","CAMBIO EJE DE ARRASTRE (1)"
"PASTILLAS TRASERAS Y DELANTERA","1","PASTILLAS TRASERAS Y DELANTERA (1)"
"PINTURA DE GUARDABARRO DELANTERO","1","PINTURA DE GUARDABARRO DELANTERO (1)"
"REOBINAR CORONA","1","REOBINAR CORONA (1)"
"QUITAR BASE DE EXPLORADORAS","1","QUITAR BASE DE EXPLORADORAS (1)"
"REVISAR LIQUIDO DE FRRENOS","1","REVISAR LIQUIDO DE FRRENOS (1)"
"ARREGLO BASE MULETA","1","ARREGLO BASE MULETA (1)"
"DOS RADIOS TRASEROS","1","DOS RADIOS TRASEROS (1)"
"BASE CHAPA","1","BASE CHAPA (1)"
"ARREGLO Y PINTURA TAPAS NATERALES","1","ARREGLO Y PINTURA TAPAS ÑATERALES (1)"
"PINTURA GUARDABARRO DEL","1","PINTURA GUARDABARRO DEL (1)"
"CONEXION EXPLORADORAS","1","CONEXIÓN EXPLORADORAS (1)"
"COSER Y PINTAR TAPAS TRASERAS","1","COSER Y PINTAR TAPAS TRASERAS (1)"
"COSER Y PINTAR CARENAJE FAROLA","1","COSER Y PINTAR CARENAJE FAROLA (1)"
"AJUSTE AMORTIGUADOR","1","AJUSTE AMORTIGUADOR (1)"
"ACEITE SEMI","1","ACEITE SEMI (1)"
"AJUSTE DE ESPEJO","1","AJUSTE DE ESPEJO (1)"
"2 INTERRUPTORES Y SOPORTE","1","2 INTERRUPTORES Y SOPORTE (1)"
"MALETERO","1","MALETERO (1)"
"REVISION PRESION DE LLANTAS","1","REVISION PRESION DE LLANTAS (1)"
"AJUSTE DE DIRECCION","1","AJUSTE DE DIRECCION (1)"
"CAMBIO DE AMORTIGUADOR","1","CAMBIO DE AMORTIGUADOR (1)"
"SOPORTES DE MALETERO","1","SOPORTES DE MALETERO (1)"
"CAMBIO BUJES DE MANUBRIO","1","CAMBIO BUJES DE MANUBRIO (1)"
"INSTALAR BARRAS DE EXPLORADORAS","1","INSTALAR BARRAS DE EXPLORADORAS (1)"
"MANGUERA TERMOSTATO Y CILINDRO","1","MANGUERA TERMOSTATO Y CILINDRO (1)"
"CAMBIO DE PRENSA COMPLETA","1","CAMBIO DE PRENSA COMPLETA (1)"
"LLAVE Y PROGRAMACION","1","LLAVE Y PROGRAMACION (1)"
"1 GUAYA DE CLUTCH","1","1 GUAYA DE CLUTCH (1)"
"MANO DE OBRA BARRA IZQUIERDA","1","MANO DE OBRA BARRA IZQUIERDA (1)"
"MANTENIMIENTO Y CORRECCION DE CARDAN","1","MANTENIMIENTO Y CORRECCION DE CARDAN (1)"
"REMACHES DISCOS","1","REMACHES DISCOS (1)"
"TAPA DE ACEITE","1","TAPA DE ACEITE (1)"
"LUBRICACION DE MANIGUETAS","1","LUBRICACION DE MANIGUETAS (1)"
"CAMBIO CORONA","1","CAMBIO CORONA (1)"
"CAMBIO REGULADOR","1","CAMBIO REGULADOR (1)"
"MANO DE OBRA TABLERO","1","MANO DE OBRA TABLERO (1)"
"CAMBIO DE ACEITE SEMI ENI","1","CAMBIO DE ACEITE SEMI ENI (1)"
"SOPORTE GATO CENTRAL","1","SOPORTE GATO CENTRAL (1)"
"ENSAMBLE AMORTIGUADOR","1","ENSAMBLE AMORTIGUADOR (1)"
"ARREGLO SKID PLAE","1","ARREGLO SKID PLAE (1)"
"800CC DE ACEITE","1","800CC DE ACEITE (1)"
"POLICHADO CUPULA","1","POLICHADO CUPULA (1)"
"SENSOR DE TEMPERATURA","1","SENSOR DE TEMPERATURA (1)"
"TUERCA MANUBRIO","1","TUERCA MANUBRIO (1)"
"SELLO BOMBA D AGUA","1","SELLO BOMBA D AGUA (1)"
"MANTENTENIMIENTO Y RETEN DE CLUTCH","1","MANTENTENIMIENTO Y RETEN DE CLUTCH (1)"
"CAMBIO DE REGULADOR","1","CAMBIO DE REGULADOR (1)"
"CAMBIO DE LLANTA DELANTER","1","CAMBIO DE LLANTA DELANTER (1)"
"RETOQUE DE DEFENSAS","1","RETOQUE DE DEFENSAS (1)"
"BASES DE EXPLORADORAS","1","BASES DE EXPLORADORAS (1)"
"MANTENIMINETO Y RETEN DE CLUTCH","1","MANTENIMINETO Y RETEN DE CLUTCH (1)"
"AJUSTE CUNAS","1","AJUSTE CUNAS (1)"
"SELLO Y KIT RETENES DE AGUA","1","SELLO Y KIT RETENES DE AGUA (1)"
"PULIR PESA DE MANUBRIO","1","PULIR PESA DE MANUBRIO (1)"
"ARREGLO CABLEADO DE PITO","1","ARREGLO CABLEADO DE PITO (1)"
"RELAY DE PITO","1","RELAY DE PITO (1)"
"ACEITE 2 CUARTOS","1","ACEITE 2 CUARTOS (1)"
"FILTRO DE ACEIET","1","FILTRO DE ACEIET (1)"
"ACOMODAR LUZ DE FAROLA","1","ACOMODAR LUZ DE FAROLA (1)"
"CABLE","1","CABLE (1)"
"CAMBIO DILTRO DE AIRE","1","CAMBIO DILTRO DE AIRE (1)"
"DOS TORNILLOS DE TAPA","1","DOS TORNILLOS DE TAPA (1)"
"BOMBILLOS FRONTALES","1","BOMBILLOS FRONTALES (1)"
"CADENILLA Y MANO DE OBRA","1","CADENILLA Y MANO DE OBRA (1)"
"ARREGLO INTERRUPTOR CONTROL CRUCERO","1","ARREGLO INTERRUPTOR CONTROL CRUCERO (1)"
"INSTALACION CAMARAS","1","INSTALACION CAMARAS (1)"
"LLANTA Y ARREGLO BOBINA","1","LLANTA Y ARREGLO BOBINA (1)"
"PINTURA TAPAS DE EXOSTO","1","PINTURA TAPAS DE EXOSTO (1)"
"SALDO A FAAVOR","1","SALDO A FAAVOR (1)"
"RETEN VARILLA DE CLUTCH","1","RETEN VARILLA DE CLUTCH (1)"
"PEDAL DE CRANK","1","PEDAL DE CRANK (1)"
"AJUSTE DE PLACA Y TORNILLO","1","AJUSTE DE PLACA Y TORNILLO (1)"
"BANDAS Y PASTILLAS","1","BANDAS Y PASTILLAS (1)"
"VALVULA DE LLANTA","1","VALVULA DE LLANTA (1)"
"ARREGLO BOMBILLO DE FAROLA","1","ARREGLO BOMBILLO DE FAROLA (1)"
"ARREGLO CONECTOR DE FAROLA","1","ARREGLO CONECTOR DE FAROLA (1)"
"VARILLA DE CLUTCH","1","VARILLA DE CLUTCH (1)"
"MANO DE OBRA LLANTAS Y VALVULAS","1","MANO DE OBRA LLANTAS Y VALVULAS (1)"
"MATO DE BARRA","1","MATO DE BARRA (1)"
"TAAPITA MANUBRIO","1","TAAPITA MANUBRIO (1)"
"PISO","1","PISO (1)"
"PRENDERLA","1","PRENDERLA (1)"
"AJUSTE DISCOS DE FRENO","1","AJUSTE DISCOS DE FRENO (1)"
"CAMBIAR VALVULAS","1","CAMBIAR VALVULAS (1)"
"REVISION SOPORTE CARGADOR","1","REVISION SOPORTE CARGADOR (1)"
